No,名称,lat.,lon.
1,笹塚緑道公衆トイレ,35.67333997,139.6667417
2,幡ヶ谷公衆トイレ,35.67777556,139.6705561
3,七号通り公園公衆トイレ,35.6788816,139.6744563
4,西原一丁目公園トイレ,35.67765436,139.6796496
5,西参道公衆トイレ,35.68397461,139.6914804
6,代々木八幡公衆トイレ,35.67147297,139.6880408
7,はるのおがわコミュニティパークトイレ,35.67227691,139.6910568
8,代々木深町小公園トイレ,35.669361,139.690694
9,裏参道公衆トイレ,35.68037644,139.7041226
10,神宮前公衆トイレ,35.67246558,139.7079678
11,神宮通公園トイレ,35.6641473,139.7019887
12,鍋島松濤公園トイレ,35.65965361,139.6915488
13,東三丁目公衆トイレ,35.64899791,139.7091553
14,恵比寿公園トイレ,35.64707365,139.707152
15,恵比寿駅西口公衆トイレ,35.64745332,139.7094434
16,恵比寿東公園トイレ,35.64817352,139.7111936
17,広尾東公園トイレ,35.65336396,139.7211124
S,JR恵比寿駅,35.64671447,139.7101033
G,京王線笹塚駅,35.67367756,139.6671464
